CLASE	NOMBRE_O_TEXTO	X	Y	ROT	CAPA
INSERT	A Buje	82961.172	95577.147	1.5803	0
INSERT	CODO90	82900.081	95579.198	6.2763	REDMENOR_ACUEDPROY
INSERT	A Tee	83146.964	95073.187	2.4529	0
INSERT	A Tee	83112.173	95218.308	2.4529	0
INSERT	A Tee	82899.106	95486.962	1.7048	0
INSERT	A Tee	83625.962	95016.224	4.0633	0
INSERT	A Tee	83692.955	95221.037	4.7254	0
INSERT	A Tee	83664.212	95334.265	5.1943	0
INSERT	A Tee	83618.484	95421.08	5.1971	0
INSERT	A Tee	83337.574	95582.243	0.0159	0
INSERT	A Tee	83473.228	95584.786	0.0159	0
INSERT	A Tee	83518.638	95610.672	5.1466	0
INSERT	A Tee	83522.054	95796.569	1.1276	0
INSERT	A Tee	83532.02	95817.564	4.2692	0
